State Name,Percent of Veterans who used VA Health Care,Number of VA Health Care Patients,Veteran Population,Year
Alabama,24.61,101374,411844.5356,2010
Alabama,26.11,105184,402853.7146,2011
Alabama,26.72,105800,395992.3785,2012
Alabama,27.42,106880,389780.0643,2013
Alabama,28.58,110178,385510.6408,2014
Alabama,29.13,109912,377310.3945,2015
Alaska,19.9,15106,75896.97603,2010
Alaska,20.66,16042,77641.05669,2011
Alaska,22.56,16932,75055.5219,2012
Alaska,23.5,17814,75811.98468,2013
Alaska,24.52,18766,76522.71944,2014
Alaska,32.03,21784,68008.01669,2015
Arizona,23.38,125122,535257.7113,2010
Arizona,24.16,129695,536870.0153,2011
Arizona,24.72,132004,534088.8502,2012
Arizona,25.22,135409,536941.1865,2013
Arizona,27.3,144138,527943.3209,2014
Arizona,28.87,150735,522188.223,2015
Arkansas,34.35,84774,246813.5456,2010
Arkansas,35.24,85838,243569.3087,2011
Arkansas,35.96,85866,238786.7794,2012
Arkansas,36.02,85388,237062.8803,2013
Arkansas,37.05,85412,230524.7531,2014
Arkansas,36.48,83115,227840.029,2015
California,20.22,411540,2035139.684,2010
California,21.39,427283,1997710.13,2011
California,22.42,439672,1961139.461,2012
California,23.29,452817,1944128.863,2013
California,25.02,468953,1874560.417,2014
California,27.53,492799,1789862.18,2015
Colorado,19.46,81077,416736.4694,2010
Colorado,20.51,85487,416868.8567,2011
Colorado,21.69,89781,413861.3451,2012
Colorado,22.96,95346,415190.4956,2013
Colorado,23.93,98428,411296.8438,2014
Colorado,25.5,104979,411682.9037,2015
Connecticut,22.69,52093,229610.2899,2010
Connecticut,23.02,52643,228730.6415,2011
Connecticut,24.17,52779,218370.3039,2012
Connecticut,25.31,52490,207414.953,2013
Connecticut,25.72,52613,204550.7819,2014
Connecticut,25.81,51410,199163.2524,2015
Delaware,19.21,14251,74195.03628,2010
Delaware,18.8,14696,78162.79549,2011
Delaware,19.47,14952,76794.70128,2012
Delaware,19.98,15064,75413.88466,2013
Delaware,20.96,15305,73016.12923,2014
Delaware,21.46,15831,73760.41817,2015
District of Columbia,24.81,8967,36136.35487,2010
District of Columbia,23.74,8226,34645.14796,2011
District of Columbia,24.43,8368,34250.30287,2012
District of Columbia,25.7,8404,32705.20921,2013
District of Columbia,24.82,8416,33908.69992,2014
District of Columbia,32.29,9356,28976.64628,2015
Florida,28.12,467735,1663246.035,2010
Florida,29.6,482124,1629041.023,2011
Florida,30.35,490268,1615159.644,2012
Florida,30.89,496085,1605926.229,2013
Florida,31.14,498854,1601910.179,2014
Florida,31.63,504267,1594217.848,2015
Georgia,21.71,159900,736516.4331,2010
Georgia,23.33,169555,726804.582,2011
Georgia,24.02,175933,732532.675,2012
Georgia,25.64,183536,715946.3032,2013
Georgia,27.34,194489,711260.483,2014
Georgia,28.88,202428,700813.9788,2015
Hawaii,16.03,20651,128834.6292,2010
Hawaii,17.59,21603,122842.3535,2011
Hawaii,17.87,22558,126234.1031,2012
Hawaii,19.36,24498,126514.6008,2013
Hawaii,20.93,25693,122756.8818,2014
Hawaii,26.74,30316,113381.3593,2015
Idaho,26.46,34593,130736.2925,2010
Idaho,27.99,35682,127459.5027,2011
Idaho,29.67,37537,126523.193,2012
Idaho,29.28,37882,129382.0484,2013
Idaho,30.27,38936,128637.2606,2014
Idaho,32.38,40195,124122.5494,2015
Illinois,23.28,177563,762672.6429,2010
Illinois,24.24,180042,742715.3607,2011
Illinois,25.07,181944,725854.0567,2012
Illinois,25.97,183758,707540.9458,2013
Illinois,26.76,184318,688765.8337,2014
Illinois,27.32,181965,665968.0685,2015
