SUMLEV,REGION,DIVISION,STATE,NAME,SEX,AGE,ESTBASE2010_CIV,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV,POPEST2015_CIV
010,0,0,0,United States,0,0,3944160,3951330,3963087,3926540,3931141,3949775,3978038
010,0,0,0,United States,0,1,3978090,3957888,3966551,3977939,3942872,3949776,3968564
010,0,0,0,United States,0,2,4096939,4090862,3971565,3980095,3992720,3959664,3966583
010,0,0,0,United States,0,3,4119051,4111920,4102470,3983157,3992734,4007079,3974061
010,0,0,0,United States,0,4,4063186,4077551,4122294,4112849,3994449,4005716,4020035
010,0,0,0,United States,0,5,4056872,4064653,4087709,4132242,4123626,4006900,4018158
010,0,0,0,United States,0,6,4066412,4073013,4074993,4097605,4142916,4135930,4019207
010,0,0,0,United States,0,7,4030594,4043046,4083225,4084913,4108349,4155326,4148360
010,0,0,0,United States,0,8,4046497,4025604,4053203,4093177,4095711,4120903,4167887
010,0,0,0,United States,0,9,4148369,4125415,4035710,4063152,4104072,4108349,4133564
010,0,0,0,United States,0,10,4172559,4187062,4135613,4045779,4074111,4116942,4121289
010,0,0,0,United States,0,11,4114443,4115511,4197472,4146000,4057152,4087402,4130328
010,0,0,0,United States,0,12,4106261,4113279,4126117,4208009,4157476,4070682,4101021
010,0,0,0,United States,0,13,4118055,4119666,4124219,4136683,4219594,4171030,4084306
010,0,0,0,United States,0,14,4166059,4145614,4131501,4135460,4148966,4233839,4185386
010,0,0,0,United States,0,15,4242946,4231002,4158941,4144019,4149121,4164796,4249742
010,0,0,0,United States,0,16,4316311,4313252,4247444,4174379,4160892,4168559,4184296
010,0,0,0,United States,0,17,4395196,4375334,4334087,4267320,4195951,4185884,4193228
010,0,0,0,United States,0,18,4482436,4475045,4387273,4344855,4278635,4212303,4200401
010,0,0,0,United States,0,19,4533403,4521352,4473463,4381755,4335210,4276744,4211015
010,0,0,0,United States,0,20,4452626,4501526,4538724,4488785,4394414,4356362,4298300
010,0,0,0,United States,0,21,4280148,4312821,4521627,4561272,4508751,4420733,4383568
010,0,0,0,United States,0,22,4188295,4208360,4337275,4548382,4589242,4540765,4454350
010,0,0,0,United States,0,23,4122832,4140927,4239962,4371344,4584511,4628717,4580730
010,0,0,0,United States,0,24,4176530,4170525,4174026,4274398,4408021,4625326,4670116
010,0,0,0,United States,0,25,4194785,4221036,4201885,4206987,4309691,4447450,4665116
010,0,0,0,United States,0,26,4090707,4098497,4249767,4232878,4240827,4347395,4486282
010,0,0,0,United States,0,27,4192055,4179728,4126002,4279771,4266571,4278332,4385707
010,0,0,0,United States,0,28,4164505,4195456,4204823,4153016,4310048,4301609,4314286
010,0,0,0,United States,0,29,4176622,4163098,4217961,4229392,4180318,4341554,4335171
010,0,0,0,United States,0,30,4242932,4260934,4183322,4239631,4253968,4209109,4371960
010,0,0,0,United States,0,31,3931662,4002913,4278693,4202367,4261015,4279056,4236238
010,0,0,0,United States,0,32,3951250,3931511,4018765,4295138,4221314,4283060,4303152
010,0,0,0,United States,0,33,3847378,3899877,3946003,4032765,4311727,4240842,4304196
010,0,0,0,United States,0,34,3808010,3791118,3912496,3958730,4046996,4329185,4260003
010,0,0,0,United States,0,35,3925951,3917315,3802772,3924089,3971797,4062466,4346447
010,0,0,0,United States,0,36,3772160,3800293,3927098,3812596,3935193,3985675,4077760
010,0,0,0,United States,0,37,3903846,3866014,3808747,3935731,3822547,3947198,3999332
010,0,0,0,United States,0,38,4091007,4049402,3874180,3816988,3945033,3834130,3959948
010,0,0,0,United States,0,39,4334934,4294415,4058173,3882636,3826828,3957064,3847399
